hours,Mcc,R1,R2
4.0,575.0039648207289,588.548394632774,600.8423733208588
5.0,554.0142092379517,556.8101755080575,584.2513231411914
6.0,570.0040897856835,578.8227873319157,590.4820317754514
7.0,793.6360023064057,929.9959686925395,844.1126399717448
8.0,1107.1283131842952,1205.3,1114.9469932525246
9.0,1326.9211776373668,1409.3798882981232,1266.5589400977278
10.0,1326.921164353042,1423.7070848716037,1291.7263755683605
11.0,1326.921138791034,1444.5671156431033,1291.2181036878205
12.0,1326.9211577718888,1443.6125924949959,1288.4254684272546
