hours,res10,res20,res30,res40,res50,res60
1.0,14.403596803867845,13.669014213465413,12.889646532698613,11.952034939848513,10.457133673718792,6.582374618152055
2.0,14.229525004045339,13.48826432142848,12.669225690085964,11.62500375146653,10.020239115281226,6.582374595554453
3.0,13.874533379316352,13.148693632560985,12.375644285131806,11.315811829385584,9.594194977438244,5.79882244184512
4.0,13.72304541557003,12.959655760174066,12.154236404253004,11.077740963827146,7.211885904382597,4.165599073165513
5.0,13.706181489088703,12.925927948895366,12.105908023987332,11.022550769973726,6.949933756755448,3.6114695682920246
6.0,13.804815699882383,13.015774547480484,12.18799198679775,11.096296143983434,7.149487452794356,3.916980371356568
7.0,14.730227960533819,14.085978898484159,13.260564223046057,12.131801422190307,10.493374605573056,6.582374632490835
8.0,15.378948774185996,14.73715297680504,14.092349785456527,13.298425639452471,12.23301589237944,10.855753718951096
9.0,15.844936696799335,15.194868961339884,14.54823081763987,13.872365380112495,12.867053746083643,11.74882521307376
10.0,15.88425635445954,15.227846307939263,14.574199858360691,13.893569968980652,12.884114529600472,11.77810822543378
11.0,15.889317056443863,15.232448541739556,14.58110322301273,13.905143368968387,12.899284735832827,11.77845343413943
12.0,15.8469248022579,15.198862490179703,14.551948075639146,13.874981853693496,12.861008805571492,11.759892756137067
13.0,15.863354807689431,15.227691072458187,14.59327907110171,13.943403718242752,12.973229243822823,11.878853494367698
14.0,15.867487994328414,15.234594256636743,14.603633946104965,13.961105596146865,13.000893958494485,11.91212243730538
15.0,15.786995501723668,15.150158471191554,14.512726037666356,13.841173332986996,12.833940302790806,11.745443974351259
16.0,15.786992561469233,15.148073649386097,14.508933750235466,13.835605849675861,12.825589577892748,11.72960840377063
17.0,16.070978686929003,15.421089319528564,14.771199592764535,14.108502340173775,13.162642174917142,12.045888005348928
18.0,16.12709799345784,15.479472299644206,14.831846280535949,14.172734722841255,13.253585280323001,12.14399256962185
19.0,16.12434384431931,15.473964001554707,14.823583823995273,14.16149452946743,13.234769514749505,12.120516681347656
20.0,15.90174682334616,15.244192629875364,14.592500472272798,13.925145570372639,12.929858385161564,11.814278687995838
21.0,15.671729362100074,15.043569814984465,14.393383792980812,13.66487798074939,12.599971343434577,11.481068718483078
22.0,15.260193296384035,14.6612087979791,14.052049807920959,13.155242554613766,12.08601234202741,10.959141192257835
23.0,14.73509899433542,14.149576538788107,13.52865076873345,12.560295725761248,11.48725790155949,10.46939598696903
24.0,14.220011596855622,13.510838006860224,12.759916000550858,11.742185822539069,10.644844244695415,6.750325083583151
