Mcc,congested,11.32,587.5889106457455,587.584725202005,0.0041854437404338085,2.090710163116455
R1,congested,11.32,753.3774290639692,745.2645800000001,8.11284906396893,0.18698136806488036
R2,congested,11.32,573.3604056613976,546.7146112223087,26.645794439089386,14.76331615447998
Mcc,congested,22.64,501.44513335556366,501.4265321465888,0.018601208974882353,1.6761219501495361
R1,congested,22.64,835.6702611279377,819.4445629999999,16.22569812793786,0.2077868700027466
R2,congested,22.64,480.4632279306946,426.03647816926224,54.42674976143446,9.759959936141968
Mcc,congested,33.96,418.3279333030712,418.2674267879659,0.060506515105134114,1.5588970184326172
R1,congested,33.96,865.8432261919068,841.5046789999999,24.338547191906798,0.17307760715484619
R2,congested,33.96,395.908307820656,328.98377890811963,66.92452891253697,14.208802938461304
Mcc,congested,45.27,338.7054713583974,338.5964486445035,0.10902271389396297,1.7346241474151611
R1,congested,45.27,1076.2485771285678,1046.255659,29.992918128567766,0.1866081714630127
R2,congested,45.27,314.25050141169726,261.9460284312912,52.30447298040411,16.941789865493774
Mcc,congested,56.59,263.5480970458256,263.24464939492935,0.303447650896185,1.6271419525146484
R1,congested,56.59,964.8472216599222,933.2178989999999,31.629322659922316,0.18571679592132567
R2,congested,56.59,243.98656804925272,203.6749617066815,40.31160634257068,14.434602975845337
Mcc,congested,67.91,194.9256521604656,194.58360549937834,0.34204666108727655,1.7477750778198242
R1,congested,67.91,1198.4559206096883,1164.02615,34.429770609688575,0.19533007144927977
R2,congested,67.91,177.48480997960885,150.5173221606978,26.967487818910794,13.194846868515015
Mcc,congested,79.23,134.46739819735654,134.19978016706744,0.26761803028911607,1.8120949268341064
R1,congested,79.23,1357.6460890262692,1315.296433,42.34965602626934,0.21907427310943603
R2,congested,79.23,113.68235129420489,97.73882905109456,15.943522243110571,12.857551097869873
